CdMx
3
14
17
25
21
10
27
36
32
64
36
22
19
40
64
46
68
62
61
38
83
58
66
79
92
62
59
136
139
132
141
163
123
120
279
265
241
268
347
202
205
475
455
429
380
547
281
246
531
577
593
574
357
334
307
751
608
705
737
821
410
380
837
853
910
821
954
614
376
1094
1033
1050
981
926
482
354
1039
923
1008
851
941
557
414
1065
928
978
933
959
522
386
1025
1005
960
884
929
403
342
932
989
941
929
888
442
273
862
889
803
827
900
367
306
960
916
992
872
932
374
237
991
946
954
750
867
396
251
1071
925
1217
1131
1178
658
258
1149
1159
1202
1109
1063
551
265
1055
1060
1062
1045
941
534
248
875
1029
1017
923
981
501
190
886
1016
1010
999
1026
481
179
996
1172
1131
946
1074
499
274
1063
1057
1414
1233
1244
716
241
1024
1404
1430
1333
1229
646
250
965
1346
1277
1191
1189
725
212
945
770
214
1258
1142
637
254
943
1243
1184
1142
1136
738
290
1116
1221
1201
1174
1035
558
226
1022
1210
1229
1188
1191
544
290
1232
1343
1210
1306
1496
656
307
1844
1932
1705
1744
1857
754
302
1939
1893
1877
1661
1478
665
280
591
1978
1732
1504
891
514
255
1028
1067
1193
1201
1061
673
321
266
1211
860
580
416
